quiz_title,original_directory,moduleid,quiz_userinfo,files_copied,total_size_bytes,output_folder
Tutorial 5B - Non-homogeneous DEs - Undetermined Coefficients,activities/quiz_13571,13571,1,Tutorial 5B - Non-homogeneous DEs - Undetermined Coefficients - quiz.xml;Tutorial 5B - Non-homogeneous DEs - Undetermined Coefficients - grades.xml;Tutorial 5B - Non-homogeneous DEs - Undetermined Coefficients - inforef.xml,18881869,
Quiz 5: Method of Undetermined Coefficients,activities/quiz_13465,13465,1,Quiz 5: Method of Undetermined Coefficients - quiz.xml;Quiz 5: Method of Undetermined Coefficients - grades.xml;Quiz 5: Method of Undetermined Coefficients - inforef.xml,13160013,
Tutorial 6A - Non-homogeneous DEs - Variation of Parameters,activities/quiz_13464,13464,1,Tutorial 6A - Non-homogeneous DEs - Variation of Parameters - grades.xml;Tutorial 6A - Non-homogeneous DEs - Variation of Parameters - inforef.xml;Tutorial 6A - Non-homogeneous DEs - Variation of Parameters - quiz (part1of2).xml;Tutorial 6A - Non-homogeneous DEs - Variation of Parameters - quiz (part2of2).xml,27482000,
Tutorial 6B - Non-homogeneous DEs - Variation of Parameters,activities/quiz_13664,13664,1,Tutorial 6B - Non-homogeneous DEs - Variation of Parameters - quiz.xml;Tutorial 6B - Non-homogeneous DEs - Variation of Parameters - grades.xml;Tutorial 6B - Non-homogeneous DEs - Variation of Parameters - inforef.xml,26360155,
Quiz 6: Variation of Parameters,activities/quiz_13470,13470,1,Quiz 6: Variation of Parameters - quiz.xml;Quiz 6: Variation of Parameters - grades.xml;Quiz 6: Variation of Parameters - inforef.xml,16323287,
Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method,activities/quiz_13467,13467,1,Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method - grades.xml;Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method - inforef.xml;Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method - quiz (part1of2).xml;Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method - quiz (part2of2).xml,29224170,
Tutorial 7B - Cauchy-Euler Differential Equations and Order Reduction Method,activities/quiz_13666,13666,1,Tutorial 7B - Cauchy-Euler Differential Equations and Order Reduction Method - quiz.xml;Tutorial 7B - Cauchy-Euler Differential Equations and Order Reduction Method - grades.xml;Tutorial 7B - Cauchy-Euler Differential Equations and Order Reduction Method - inforef.xml,27287015,
Quiz 7: Cauchy-Euler and Order Reduction,activities/quiz_13473,13473,1,Quiz 7: Cauchy-Euler and Order Reduction - quiz.xml;Quiz 7: Cauchy-Euler and Order Reduction - grades.xml;Quiz 7: Cauchy-Euler and Order Reduction - inforef.xml,24383505,
Tutorial 8A - Power Series and Frobenius Methods,activities/quiz_13478,13478,1,Tutorial 8A - Power Series and Frobenius Methods - grades.xml;Tutorial 8A - Power Series and Frobenius Methods - inforef.xml;Tutorial 8A - Power Series and Frobenius Methods - quiz (part1of2).xml;Tutorial 8A - Power Series and Frobenius Methods - quiz (part2of2).xml,50969174,
Tutorial 8B - Power Series and Frobenius Methods,activities/quiz_13667,13667,1,Tutorial 8B - Power Series and Frobenius Methods - grades.xml;Tutorial 8B - Power Series and Frobenius Methods - inforef.xml;Tutorial 8B - Power Series and Frobenius Methods - quiz (part1of3).xml;Tutorial 8B - Power Series and Frobenius Methods - quiz (part2of3).xml;Tutorial 8B - Power Series and Frobenius Methods - quiz (part3of3).xml,76746916,
Quiz 8: Power Series and Frobenius Methods,activities/quiz_13485,13485,1,Quiz 8: Power Series and Frobenius Methods - quiz.xml;Quiz 8: Power Series and Frobenius Methods - grades.xml;Quiz 8: Power Series and Frobenius Methods - inforef.xml,16615434,
Tutorial 9A - Non-Linear Equations,activities/quiz_13474,13474,1,Tutorial 9A - Non-Linear Equations - grades.xml;Tutorial 9A - Non-Linear Equations - inforef.xml;Tutorial 9A - Non-Linear Equations - quiz (part1of2).xml;Tutorial 9A - Non-Linear Equations - quiz (part2of2).xml,45566394,
Tutorial 9B - Non-Linear Equations,activities/quiz_13733,13733,1,Tutorial 9B - Non-Linear Equations - quiz.xml;Tutorial 9B - Non-Linear Equations - grades.xml;Tutorial 9B - Non-Linear Equations - inforef.xml,22853242,
Quiz 9: Non-Linear Equations,activities/quiz_13479,13479,1,Quiz 9: Non-Linear Equations - quiz.xml;Quiz 9: Non-Linear Equations - grades.xml;Quiz 9: Non-Linear Equations - inforef.xml,9598168,
Tutorial 10A - Numerical Differentiation and Numerical Integrations,activities/quiz_13482,13482,1,Tutorial 10A - Numerical Differentiation and Numerical Integrations - grades.xml;Tutorial 10A - Numerical Differentiation and Numerical Integrations - inforef.xml;Tutorial 10A - Numerical Differentiation and Numerical Integrations - quiz (part1of2).xml;Tutorial 10A - Numerical Differentiation and Numerical Integrations - quiz (part2of2).xml,31786246,
Tutorial 10B - Numerical Differentiation and Numerical Integrations,activities/quiz_13735,13735,1,Tutorial 10B - Numerical Differentiation and Numerical Integrations - quiz.xml;Tutorial 10B - Numerical Differentiation and Numerical Integrations - grades.xml;Tutorial 10B - Numerical Differentiation and Numerical Integrations - inforef.xml,15442940,
Quiz 10: Numerical Integrations and Numerical Differentiations,activities/quiz_13487,13487,1,Quiz 10: Numerical Integrations and Numerical Differentiations - quiz.xml;Quiz 10: Numerical Integrations and Numerical Differentiations - grades.xml;Quiz 10: Numerical Integrations and Numerical Differentiations - inforef.xml,22242876,
Tutorial 11A - Numerical odes and Taylor's Theorem,activities/quiz_13484,13484,1,Tutorial 11A - Numerical odes and Taylor's Theorem - grades.xml;Tutorial 11A - Numerical odes and Taylor's Theorem - inforef.xml;Tutorial 11A - Numerical odes and Taylor's Theorem - quiz (part1of2).xml;Tutorial 11A - Numerical odes and Taylor's Theorem - quiz (part2of2).xml,49190154,
Tutorial 11B - Numerical odes and Taylor's Theorem,activities/quiz_13736,13736,1,Tutorial 11B - Numerical odes and Taylor's Theorem - quiz.xml;Tutorial 11B - Numerical odes and Taylor's Theorem - grades.xml;Tutorial 11B - Numerical odes and Taylor's Theorem - inforef.xml,21701135,
Quiz 11: Numerical odes and Taylor's Theorem,activities/quiz_13488,13488,1,Quiz 11: Numerical odes and Taylor's Theorem - quiz.xml;Quiz 11: Numerical odes and Taylor's Theorem - grades.xml;Quiz 11: Numerical odes and Taylor's Theorem - inforef.xml,12552880,
Tutorial 12A - Infinite Series and Power Series,activities/quiz_13492,13492,1,Tutorial 12A - Infinite Series and Power Series - quiz.xml;Tutorial 12A - Infinite Series and Power Series - grades.xml;Tutorial 12A - Infinite Series and Power Series - inforef.xml,22853238,
Tutorial 12B - Infinite Series and Power Series,activities/quiz_13737,13737,1,Tutorial 12B - Infinite Series and Power Series - quiz.xml;Tutorial 12B - Infinite Series and Power Series - grades.xml;Tutorial 12B - Infinite Series and Power Series - inforef.xml,18354898,
Quiz 12: Infinite Series and Power Series,activities/quiz_13493,13493,1,Quiz 12: Infinite Series and Power Series - quiz.xml;Quiz 12: Infinite Series and Power Series - grades.xml;Quiz 12: Infinite Series and Power Series - inforef.xml,6532829,
Tutorial 13A - Fourier Series,activities/quiz_13494,13494,1,Tutorial 13A - Fourier Series - quiz.xml;Tutorial 13A - Fourier Series - grades.xml;Tutorial 13A - Fourier Series - inforef.xml,18741490,
Tutorial 13B - Fourier Series,activities/quiz_13740,13740,1,Tutorial 13B - Fourier Series - quiz.xml;Tutorial 13B - Fourier Series - grades.xml;Tutorial 13B - Fourier Series - inforef.xml,13417111,
Quiz 13: Fourier Series,activities/quiz_13495,13495,1,Quiz 13: Fourier Series - quiz.xml;Quiz 13: Fourier Series - grades.xml;Quiz 13: Fourier Series - inforef.xml,2301140,
Quiz 14: Makeup Quiz (Optional),activities/quiz_13741,13741,1,Quiz 14: Makeup Quiz (Optional) - quiz.xml;Quiz 14: Makeup Quiz (Optional) - grades.xml;Quiz 14: Makeup Quiz (Optional) - inforef.xml,10308757,
TEST 1  REFLECTION,activities/quiz_13752,13752,1,TEST 1  REFLECTION - quiz.xml;TEST 1  REFLECTION - grades.xml;TEST 1  REFLECTION - inforef.xml,8884482,
TEST 2  REFLECTION,activities/quiz_13754,13754,1,TEST 2  REFLECTION - quiz.xml;TEST 2  REFLECTION - grades.xml;TEST 2  REFLECTION - inforef.xml,7858158,
