quiz_title,original_directory,moduleid,quiz_userinfo,files_copied,total_size_bytes,output_folder
Quiz 0: Typing STACK Answers,activities/quiz_13436,13436,1,Quiz 0: Typing STACK Answers - grades.xml;Quiz 0: Typing STACK Answers - inforef.xml;Quiz 0: Typing STACK Answers - quiz (part1of2).xml;Quiz 0: Typing STACK Answers - quiz (part2of2).xml,49735869,
Tutorial 1A - Integration Techniques,activities/quiz_13441,13441,1,Tutorial 1A - Integration Techniques - grades.xml;Tutorial 1A - Integration Techniques - inforef.xml;Tutorial 1A - Integration Techniques - quiz (part1of2).xml;Tutorial 1A - Integration Techniques - quiz (part2of2).xml,50546178,
Tutorial 1B - Integration Techniques,activities/quiz_13548,13548,1,Tutorial 1B - Integration Techniques - grades.xml;Tutorial 1B - Integration Techniques - inforef.xml;Tutorial 1B - Integration Techniques - quiz (part1of2).xml;Tutorial 1B - Integration Techniques - quiz (part2of2).xml,48810790,
Tutorial 1C - Integration Techniques,activities/quiz_13549,13549,1,Tutorial 1C - Integration Techniques - grades.xml;Tutorial 1C - Integration Techniques - inforef.xml;Tutorial 1C - Integration Techniques - quiz (part1of2).xml;Tutorial 1C - Integration Techniques - quiz (part2of2).xml,34489823,
Quiz 1: Integration Techniques,activities/quiz_13448,13448,1,Quiz 1: Integration Techniques - quiz.xml;Quiz 1: Integration Techniques - grades.xml;Quiz 1: Integration Techniques - inforef.xml,13913749,
Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus,activities/quiz_13447,13447,1,Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - grades.xml;Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - inforef.xml;Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - quiz (part1of3).xml;Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - quiz (part2of3).xml;Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - quiz (part3of3).xml,58532468,
Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus,activities/quiz_13554,13554,1,Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus - grades.xml;Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus - inforef.xml;Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus - quiz (part1of2).xml;Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus - quiz (part2of2).xml,32920613,
Quiz 2: Improper Integrals and FTC,activities/quiz_13452,13452,1,Quiz 2: Improper Integrals and FTC - quiz.xml;Quiz 2: Improper Integrals and FTC - grades.xml;Quiz 2: Improper Integrals and FTC - inforef.xml,18039829,
Tutorial 3A - Applications of Integrations,activities/quiz_13450,13450,1,Tutorial 3A - Applications of Integrations - grades.xml;Tutorial 3A - Applications of Integrations - inforef.xml;Tutorial 3A - Applications of Integrations - quiz (part1of3).xml;Tutorial 3A - Applications of Integrations - quiz (part2of3).xml;Tutorial 3A - Applications of Integrations - quiz (part3of3).xml,77014366,
Tutorial 3B - Applications of Integrations,activities/quiz_13569,13569,1,Tutorial 3B - Applications of Integrations - grades.xml;Tutorial 3B - Applications of Integrations - inforef.xml;Tutorial 3B - Applications of Integrations - quiz (part1of2).xml;Tutorial 3B - Applications of Integrations - quiz (part2of2).xml,44424606,
Tutorial 4A - Introduction to Differential Equations and First Order DEs,activities/quiz_13456,13456,1,Tutorial 4A - Introduction to Differential Equations and First Order DEs - grades.xml;Tutorial 4A - Introduction to Differential Equations and First Order DEs - inforef.xml;Tutorial 4A - Introduction to Differential Equations and First Order DEs - quiz (part1of2).xml;Tutorial 4A - Introduction to Differential Equations and First Order DEs - quiz (part2of2).xml,51019819,
Tutorial 4B - Introduction to Differential Equations and First Order DEs,activities/quiz_13570,13570,1,Tutorial 4B - Introduction to Differential Equations and First Order DEs - grades.xml;Tutorial 4B - Introduction to Differential Equations and First Order DEs - inforef.xml;Tutorial 4B - Introduction to Differential Equations and First Order DEs - quiz (part1of2).xml;Tutorial 4B - Introduction to Differential Equations and First Order DEs - quiz (part2of2).xml,36680802,
Quiz 3: Applications of Integrations,activities/quiz_13457,13457,1,Quiz 3: Applications of Integrations - quiz.xml;Quiz 3: Applications of Integrations - grades.xml;Quiz 3: Applications of Integrations - inforef.xml,17502010,
Quiz 4: Ordinary Differential Equations Basics,activities/quiz_13462,13462,1,Quiz 4: Ordinary Differential Equations Basics - quiz.xml;Quiz 4: Ordinary Differential Equations Basics - grades.xml;Quiz 4: Ordinary Differential Equations Basics - inforef.xml,20371764,
Tutorial 5A - Undetermined Coefficients Functions,activities/quiz_13459,13459,1,Tutorial 5A - Undetermined Coefficients Functions - grades.xml;Tutorial 5A - Undetermined Coefficients Functions - inforef.xml;Tutorial 5A - Undetermined Coefficients Functions - quiz (part1of2).xml;Tutorial 5A - Undetermined Coefficients Functions - quiz (part2of2).xml,41490318,
