quiz_title,original_directory,moduleid,quiz_userinfo,files_copied,total_size_bytes,output_folder
Informed Consent Form,activities/quiz_21839,21839,1,Informed Consent Form - quiz.xml;Informed Consent Form - grades.xml;Informed Consent Form - inforef.xml,986119,
Quiz 0: Typing STACK Answers,activities/quiz_17877,17877,1,Quiz 0: Typing STACK Answers - grades.xml;Quiz 0: Typing STACK Answers - inforef.xml;Quiz 0: Typing STACK Answers - quiz (part1of2).xml;Quiz 0: Typing STACK Answers - quiz (part2of2).xml,47351111,
Tutorial 1A - Integration Techniques,activities/quiz_17884,17884,1,Tutorial 1A - Integration Techniques - grades.xml;Tutorial 1A - Integration Techniques - inforef.xml;Tutorial 1A - Integration Techniques - quiz (part1of2).xml;Tutorial 1A - Integration Techniques - quiz (part2of2).xml,52862248,
Tutorial 1B - Integration Techniques,activities/quiz_17886,17886,1,Tutorial 1B - Integration Techniques - grades.xml;Tutorial 1B - Integration Techniques - inforef.xml;Tutorial 1B - Integration Techniques - quiz (part1of2).xml;Tutorial 1B - Integration Techniques - quiz (part2of2).xml,50506718,
Tutorial 1C - Integration Techniques,activities/quiz_17887,17887,1,Tutorial 1C - Integration Techniques - grades.xml;Tutorial 1C - Integration Techniques - inforef.xml;Tutorial 1C - Integration Techniques - quiz (part1of2).xml;Tutorial 1C - Integration Techniques - quiz (part2of2).xml,34447138,
Quiz 1: Integration Techniques,activities/quiz_17888,17888,1,Quiz 1: Integration Techniques - quiz.xml;Quiz 1: Integration Techniques - grades.xml;Quiz 1: Integration Techniques - inforef.xml,12555255,
Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus,activities/quiz_17891,17891,1,Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - grades.xml;Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - inforef.xml;Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - quiz (part1of3).xml;Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - quiz (part2of3).xml;Tutorial 2A - Improper Integrals & Fundamental Theorem of Calculus - quiz (part3of3).xml,58357619,
Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus,activities/quiz_17892,17892,1,Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus - grades.xml;Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus - inforef.xml;Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus - quiz (part1of2).xml;Tutorial 2B - Improper Integrals & Fundamental Theorem of Calculus - quiz (part2of2).xml,31602742,
Quiz 2: Improper Integrals and FTC,activities/quiz_17895,17895,1,Quiz 2: Improper Integrals and FTC - quiz.xml;Quiz 2: Improper Integrals and FTC - grades.xml;Quiz 2: Improper Integrals and FTC - inforef.xml,15276700,
Tutorial 3A - Applications of Integrations,activities/quiz_17898,17898,1,Tutorial 3A - Applications of Integrations - grades.xml;Tutorial 3A - Applications of Integrations - inforef.xml;Tutorial 3A - Applications of Integrations - quiz (part1of3).xml;Tutorial 3A - Applications of Integrations - quiz (part2of3).xml;Tutorial 3A - Applications of Integrations - quiz (part3of3).xml,70060937,
Tutorial 3B - Applications of Integrations,activities/quiz_17899,17899,1,Tutorial 3B - Applications of Integrations - grades.xml;Tutorial 3B - Applications of Integrations - inforef.xml;Tutorial 3B - Applications of Integrations - quiz (part1of2).xml;Tutorial 3B - Applications of Integrations - quiz (part2of2).xml,46557330,
Quiz 3: Applications of Integrations,activities/quiz_17902,17902,1,Quiz 3: Applications of Integrations - quiz.xml;Quiz 3: Applications of Integrations - grades.xml;Quiz 3: Applications of Integrations - inforef.xml,18026597,
Tutorial 4A - Introduction to Differential Equations and First Order DEs,activities/quiz_17900,17900,1,Tutorial 4A - Introduction to Differential Equations and First Order DEs - grades.xml;Tutorial 4A - Introduction to Differential Equations and First Order DEs - inforef.xml;Tutorial 4A - Introduction to Differential Equations and First Order DEs - quiz (part1of2).xml;Tutorial 4A - Introduction to Differential Equations and First Order DEs - quiz (part2of2).xml,46958250,
Tutorial 4B - Introduction to Differential Equations and First Order DEs,activities/quiz_17901,17901,1,Tutorial 4B - Introduction to Differential Equations and First Order DEs - grades.xml;Tutorial 4B - Introduction to Differential Equations and First Order DEs - inforef.xml;Tutorial 4B - Introduction to Differential Equations and First Order DEs - quiz (part1of2).xml;Tutorial 4B - Introduction to Differential Equations and First Order DEs - quiz (part2of2).xml,40313908,
Quiz 4: Ordinary Differential Equations Basics,activities/quiz_17903,17903,1,Quiz 4: Ordinary Differential Equations Basics - quiz.xml;Quiz 4: Ordinary Differential Equations Basics - grades.xml;Quiz 4: Ordinary Differential Equations Basics - inforef.xml,15246307,
Tutorial 5A - Undetermined Coefficients Functions,activities/quiz_17908,17908,1,Tutorial 5A - Undetermined Coefficients Functions - grades.xml;Tutorial 5A - Undetermined Coefficients Functions - inforef.xml;Tutorial 5A - Undetermined Coefficients Functions - quiz (part1of2).xml;Tutorial 5A - Undetermined Coefficients Functions - quiz (part2of2).xml,38802730,
Tutorial 5B - Non-homogeneous DEs - Undetermined Coefficients,activities/quiz_17909,17909,1,Tutorial 5B - Non-homogeneous DEs - Undetermined Coefficients - quiz.xml;Tutorial 5B - Non-homogeneous DEs - Undetermined Coefficients - grades.xml;Tutorial 5B - Non-homogeneous DEs - Undetermined Coefficients - inforef.xml,18316407,
Quiz 5: Method of Undetermined Coefficients,activities/quiz_17910,17910,1,Quiz 5: Method of Undetermined Coefficients - quiz.xml;Quiz 5: Method of Undetermined Coefficients - grades.xml;Quiz 5: Method of Undetermined Coefficients - inforef.xml,14580265,
Tutorial 6A - Non-homogeneous DEs - Variation of Parameters,activities/quiz_17912,17912,1,Tutorial 6A - Non-homogeneous DEs - Variation of Parameters - quiz.xml;Tutorial 6A - Non-homogeneous DEs - Variation of Parameters - grades.xml;Tutorial 6A - Non-homogeneous DEs - Variation of Parameters - inforef.xml,26492523,
Tutorial 6B - Non-homogeneous DEs - Variation of Parameters,activities/quiz_17913,17913,1,Tutorial 6B - Non-homogeneous DEs - Variation of Parameters - quiz.xml;Tutorial 6B - Non-homogeneous DEs - Variation of Parameters - grades.xml;Tutorial 6B - Non-homogeneous DEs - Variation of Parameters - inforef.xml,21786607,
Quiz 6: Variation of Parameters,activities/quiz_17915,17915,1,Quiz 6: Variation of Parameters - quiz.xml;Quiz 6: Variation of Parameters - grades.xml;Quiz 6: Variation of Parameters - inforef.xml,16349371,
Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method,activities/quiz_17916,17916,1,Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method - quiz.xml;Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method - grades.xml;Tutorial 7A - Cauchy-Euler Differential Equations and Order Reduction Method - inforef.xml,26459532,
Tutorial 7B - Cauchy-Euler Differential Equations and Order Reduction Method,activities/quiz_17917,17917,1,Tutorial 7B - Cauchy-Euler Differential Equations and Order Reduction Method - quiz.xml;Tutorial 7B - Cauchy-Euler Differential Equations and Order Reduction Method - grades.xml;Tutorial 7B - Cauchy-Euler Differential Equations and Order Reduction Method - inforef.xml,26422562,
Tutorial 8A - Power Series Methods,activities/quiz_17922,17922,1,Tutorial 8A - Power Series Methods - grades.xml;Tutorial 8A - Power Series Methods - inforef.xml;Tutorial 8A - Power Series Methods - quiz (part1of3).xml;Tutorial 8A - Power Series Methods - quiz (part2of3).xml;Tutorial 8A - Power Series Methods - quiz (part3of3).xml,67446450,
Tutorial 8B - Frobenius Methods,activities/quiz_17921,17921,1,Tutorial 8B - Frobenius Methods - quiz.xml;Tutorial 8B - Frobenius Methods - grades.xml;Tutorial 8B - Frobenius Methods - inforef.xml,18988618,
Quiz 7: Cauchy-Euler and Order Reduction,activities/quiz_17918,17918,1,Quiz 7: Cauchy-Euler and Order Reduction - quiz.xml;Quiz 7: Cauchy-Euler and Order Reduction - grades.xml;Quiz 7: Cauchy-Euler and Order Reduction - inforef.xml,23741493,
Quiz 8: Power Series and Frobenius Methods,activities/quiz_17923,17923,1,Quiz 8: Power Series and Frobenius Methods - quiz.xml;Quiz 8: Power Series and Frobenius Methods - grades.xml;Quiz 8: Power Series and Frobenius Methods - inforef.xml,4934187,
Tutorial 9A - Non-Linear Equations,activities/quiz_17927,17927,1,Tutorial 9A - Non-Linear Equations - grades.xml;Tutorial 9A - Non-Linear Equations - inforef.xml;Tutorial 9A - Non-Linear Equations - quiz (part1of3).xml;Tutorial 9A - Non-Linear Equations - quiz (part2of3).xml;Tutorial 9A - Non-Linear Equations - quiz (part3of3).xml,55311046,
Tutorial 9B - Non-Linear Equations,activities/quiz_17928,17928,1,Tutorial 9B - Non-Linear Equations - grades.xml;Tutorial 9B - Non-Linear Equations - inforef.xml;Tutorial 9B - Non-Linear Equations - quiz (part1of2).xml;Tutorial 9B - Non-Linear Equations - quiz (part2of2).xml,29038679,
